,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
27,Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,13455 reviews,Beginner,300k,https://www.coursera.org/specializations/business-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Penn_BusinessAnalytics_Istock49060600.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,4.6stars,"9,057 ratings","Eric Bradlow, Peter Fader, Raghu Iyengar, Ron Berman, Senthil Veeraraghavan, Sergei Savin, Noah Gans, Cade Massey, Martine Haas, Matthew Bidwell, Brian J Bushee, Christopher D. Ittner, Wharton Teaching Staff","96,102","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management",Business;Business Analysis;Business Management;Data Analysis;Management;Marketing,Business;Business;Computer Science;Math and Logic;Marketing
28,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,23932 reviews,Intermediate,560k,https://www.coursera.org/specializations/data-science-python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",4.5stars,"20,082 ratings","Christopher Brooks, Kevyn Collins-Thompson, V. G. Vinod Vydiswaran, Daniel Romero","200,183","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English",English,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK)",Algorithms;Data Analysis;Data Mining;Language;Machine Learning;Python;Science,Algorithms;Physical Science and Engineering;Business;Math and Logic;Language and Communication;Data Science;Life Science
29,Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,7592 reviews,Beginner,170k,https://www.coursera.org/specializations/wharton-business-financial-modeling,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d9/396b60b32c11e595760b3f021227e6/B_FModelingSpecializationThumbnail.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,4.6stars,"6,205 ratings","Richard Waterman, Don Huesman, Sergei Savin, Senthil Veeraraghavan, Richard Lambert, Robert W. Holthausen","49,586","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow",Business;Business Analysis;Data Analysis;Excel;Financial Analysis;Financial Modeling;Microsoft,Business;Business;Computer Science;Math and Logic
30,Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,12947 reviews,Beginner,430k,https://www.coursera.org/specializations/digital-marketing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/81/52c588499149258377d9f6dbc9db20/Gies-Square-Logo-from-MarCom.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.",4.7stars,"10,112 ratings","Aric Rindfleisch, Kevin Hartman, Mike Yao, Vishal Sachdev","97,122","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English",English,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Analytics, Marketing Analytics, Marketing Performance Measurement And Management, Data Analysis, Data Visualization (DataViz), Marketing Channel, Social Media",Data Analysis;Digital Marketing;Management;Marketing;Social Media Marketing,Data Analysis;Computer Science;Math and Logic;Art and Design;Personal Development;Marketing
31,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,10016 reviews,Intermediate,160k,https://www.coursera.org/professional-certificates/ai-engineer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a2/922bfdcbbe4ac1a413253209b11611/Professional-Certificate---AI-Engineering.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Launch Your Career in AI Engineering,4.7stars,"9,163 ratings","SAEED AGHABOZORGI, Joseph Santarcangelo, Romeo Kienzler, Alex Aklson","20,154","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 8 months to complete, English",English,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Apache Spark, Big Data, Spark, Artificial Neural Network, keras",Apache Spark;Artificial Intelligence;Big Data;Deep Learning;Engineering;IBM;Machine Learning;Science,Apache Spark;Data Science;Physical Science and Engineering;Math and Logic;Life Science
32,Introduction to Psychology,Yale University,COURSE,4.8,9784 reviews,Beginner,360k,https://www.coursera.org/learn/introduction-psychology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c6/f1ca40d93c11e8ac94f9711b40e58a/IMG_0049.gif?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Paul Bloom,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"reasoning, Problem Solving, abstract thinking, analytical thinking, Critical Thinking",Critical Thinking;Psychology,Critical Thinking
33,Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,16176 reviews,Beginner,270k,https://www.coursera.org/specializations/project-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f6/824b50f34311e4b3e4d9a4acd55c54/1_iStock_000039306742_Large_Coursera.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Project Management Principles and Practices.  Work Better, Together",4.7stars,"13,027 ratings","Margaret  Meloni,  MBA, PMP","90,924","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Schedule, Project Management, Risk Management, Budget, Project, Planning, Project Planning, Budget Estimation, Change Control, Change Management",Management;Project Management,Management;Math and Logic;Personal Development
34,Architecting with Google Kubernetes Engine,Google Cloud,SPECIALIZATION,4.7,32602 reviews,Beginner,350k,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/4d/563b08f7a044349ab56cfb3219bad6/Container-Engine.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,"32,058 ratings",Google Cloud Training,"21,637","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 1 month to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 1 month to complete, English",English,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing",Cloud Computing;Google;Kubernetes,Cloud Computing;Marketing
35,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,4379 reviews,Beginner,97k,https://www.coursera.org/specializations/positivepsychology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/dd/7ae3d0bd8411e6834f83bd22b5a2e6/PositivePsychology_MOOC_Icons_Specialization.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,4.8stars,"3,498 ratings","Martin E.P. Seligman, Ph.D., James Pawelski, Ph.D. , Claire Robertson-Kraft, Ph.D., Angela Duckworth, Ph.D., Karen Reivich, Ph.D.Top Instructor","29,481","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing",Communication;Life;Psychology,Communication;Life Science;Personal Development
36,Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,19547 reviews,Beginner,490k,https://www.coursera.org/specializations/project-management-success,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/55/c627235f5f48f282bae2ad68fdb3d2/Thumbnail.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,"13,027 ratings","Margaret  Meloni,  MBA, PMP, Sue Robins, M.S. Ed., Rob Stone, PMP, M.Ed.","24,448","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Project Management, Risk Management, Communication, Negotiation, Project, Planning, Project Planning, Change Control, Change Management, Proofreading, Business Writing, Writing",Business;Business Management;Career Development;Communication;Management;Negotiation;Project Management;Writing,Business;Business;Art and Design;Computer Science;Marketing;Language and Communication;Personal Development;Math and Logic
37,Python 3 Programming,University of Michigan,SPECIALIZATION,4.7,9986 reviews,Beginner,170k,https://www.coursera.org/specializations/python-3-programming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/be/0ce870e9cb11e8b2d233b4be6a9cf3/pythonfluency_1x1_4.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,4.8stars,"8,351 ratings","Paul Resnick, Steve Oney, Jaclyn Cohen, Christopher Brooks","76,366","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Json, Computer Programming, Python Programming, Sorting",Python,Python;Computer Science;Math and Logic
38,Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,12607 reviews,Beginner,440k,https://www.coursera.org/specializations/java-programming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Duke_JavaProgrammingIntrotoSoftware_CM195522.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Explore a Career as a Software Engineer. Learn the basics of programming and software development,4.6stars,"9,022 ratings","Susan H. Rodger, Robert Duvall, Owen Astrachan, Andrew D. Hilton","129,748","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Html, JavaScript, Cascading Style Sheets (CCS), Java Programming, Html5, Algorithms, Problem Solving, String (Computer Science), Data Structure, Cryptography, Hash Table, Programming Principles",Algorithms;Career Development;Computer Science;Engineering;HTML;HTML ;Java;Javascript;Science;Software Development,Algorithms;Physical Science and Engineering;Business;Art and Design;Marketing;Data Science;Math and Logic;Life Science
39,Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,32559 reviews,Intermediate,350k,https://www.coursera.org/specializations/developing-apps-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/97/80dde0cf3911e7837e118ae0ddfe24/course-4.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Design, Develop, and Deploy Apps on GCP. Build secure, scalable, and intelligent cloud-native applications. ",4.7stars,"32,058 ratings",Google Cloud Training,"42,220","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 1 month to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 1 month to complete, English",English,"Debugging, Cloud Storage, Google Cloud Platform, Cloud Computing, Google Compute Engine, Google App Engine (GAE), Data Store, Application Programming Interfaces (API), Google Container Engine",Cloud Computing;Design;Google,Cloud Computing;Art and Design;Marketing
40,Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,32303 reviews,Intermediate,350k,https://www.coursera.org/specializations/security-google-cloud-platform,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f4/925a00f9bc11e89f6323eb5125b878/managing-security-gcp-course-logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Launch your career in Cloud Security. This self-paced Specialization gives a broad study of security controls, best practices, and techniques on Google Cloud.",4.7stars,"32,058 ratings",Google Cloud Training,"5,458","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing",Cloud Computing;Google,Cloud Computing;Marketing
